market_id,market_slug,market_name,question,description,category,tags,event_slug,event_title,volume,liquidity,closed,close_time,clob_token_ids,market_url
540817,new-rhianna-album-before-gta-vi-926,New Rihanna Album before GTA VI?,New Rihanna Album before GTA VI?,"This market will resolve to ""Yes"" if Rihanna officially releases a new album before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

Officially released means that a newly released album is officially available for download or streaming (not including live events) by the resolution date.

Re-releases, deluxe editions, compilations, or greatest hits albums will not count, unless they contain at least 50% tracks that have never been officially released in any format prior to the album's release.

The resolution source for the album release will be any official streaming or download site, e.g. Apple Music or Spotify.",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,871009.7318680147,9924.7485,False,2026-07-31T12:00:00Z,"[""98022490269692409998126496127597032490334070080325855126491859374983463996227"", ""53831553061883006530739877284105938919721408776239639687877978808906551086026""]",https://polymarket.com/market/new-rhianna-album-before-gta-vi-926
540818,new-playboi-carti-album-before-gta-vi-421,New Playboi Carti Album before GTA VI?,New Playboi Carti Album before GTA VI?,"This market will resolve to ""Yes"" if Playboi Carti officially releases a new album before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

Officially released means that a newly released album is officially available for download or streaming (not including live events) by the resolution date.

Re-releases, deluxe editions, compilations, or greatest hits albums will not count, unless they contain at least 50% tracks that have never been officially released in any format prior to the album's release.

The resolution source for the album release will be any official streaming or download site, e.g. Apple Music or Spotify.",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,749291.4632379452,6526.4297,False,2026-07-31T12:00:00Z,"[""88275040060084773376557187972215267513049848642895776801789297917961077894224"", ""94376205816022955542979635542279932967359915765455578534002478996104754801969""]",https://polymarket.com/market/new-playboi-carti-album-before-gta-vi-421
540819,will-jesus-christ-return-before-gta-vi-665,Will Jesus Christ return before GTA VI?,Will Jesus Christ return before GTA VI?,"This market will resolve to ""Yes"" if The Second Coming of Jesus Christ occurs before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

The resolution source for the return of Jesus will be a consensus of credible sources.",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,11870917.790674737,244304.9916,False,2026-07-31T12:00:00Z,"[""90435811253665578014957380826505992530054077692143838383981805324273750424057"", ""92388629082681805622801622703528982922543286352927708208755887536971583436902""]",https://polymarket.com/market/will-jesus-christ-return-before-gta-vi-665
540820,trump-out-as-president-before-gta-vi-846,Trump out as President before GTA VI?,Trump out as President before GTA VI?,"This market will resolve to ""Yes"" if Donald Trump ceases to be the President of the U.S. for any period of time before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

An announcement of Trump's resignation/removal, or a scheduled departure from office due to the outcome of an election will not alone qualify.

Only permanent removal from office will qualify for resolution. Temporary removals, such as temporary invocation of the 25th Amendment, will not count.

The resolution source for Trump leaving the presidency will be a consensus of credible reporting.
",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,702835.2157130088,75181.7971,False,2026-07-31T12:00:00Z,"[""108999723207897941876452935557011604067917389120996960199512481363958770540884"", ""64533579809297525579033609963634939501013332859992608996100633472507000251907""]",https://polymarket.com/market/trump-out-as-president-before-gta-vi-846
540843,will-china-invades-taiwan-before-gta-vi-716-644,Will China invades Taiwan before GTA VI?,Will China invades Taiwan before GTA VI?,"This market will resolve to ""Yes"" if China commences a military offensive intended to establish control over any portion of the Republic of China (Taiwan) before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

An announcement of Trump's resignation/removal, or a scheduled departure from office due to the outcome of an election will not alone qualify.

Territory under the administration of the Republic of China including any inhabited islands will qualify, however uninhabited islands will not qualify.

The resolution source for China invading Taiwan will be will be official confirmation by China, Taiwan, the United Nations, or any permanent member of the UN Security Council, however a consensus of credible reporting will also be use
",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,1919914.4013190689,38058.0632,False,2026-07-31T12:00:00Z,"[""21695138873211375451055566770107682325494206727818897067665810321709249824909"", ""17516427576383382756368467656206258206490015951115433065318503962238754362428""]",https://polymarket.com/market/will-china-invades-taiwan-before-gta-vi-716-644
540844,will-bitcoin-hit-1m-before-gta-vi-872-424,Will bitcoin hit $1m before GTA VI?,Will bitcoin hit $1m before GTA VI?,"This market will resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) has a final ""High"" price of $1,000,000 or higher before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

The resolution source for Bitcoin is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,4688321.339358787,87191.52173,False,2026-07-31T12:00:00Z,"[""105267568073659068217311993901927962476298440625043565106676088842803600775810"", ""91863162118308663069733924043159186005106558783397508844234610341221325526200""]",https://polymarket.com/market/will-bitcoin-hit-1m-before-gta-vi-872-424
544092,will-harvey-weinstein-be-sentenced-to-no-prison-time,Will Harvey Weinstein be sentenced to no prison time?,Will Harvey Weinstein be sentenced to no prison time?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,393774.1985670027,2937.95484,False,2025-12-31T12:00:00Z,"[""24327803960645909378149041810697343640752122608192367041827900158592826352552"", ""86488478623677188352872801318507143761188967461168408688159600382919967378486""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-no-prison-time
544093,will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Will Harvey Weinstein be sentenced to less than 5 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,147855.4144040003,2992.02089,False,2025-12-31T12:00:00Z,"[""77166477669007661974218999697956080000161736671391584414287437514245884953047"", ""47055352475798285920984907840917431698812931301054546103955312973973172985230""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison
544094,will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,97376.00516700062,2316.15203,False,2025-12-31T12:00:00Z,"[""8585617872562550075367684165842985213222082790621129799520234539666057750015"", ""103705222348348023632358209307161171933864556870678885035120650593331360918837""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison
544095,will-harvey-weinstein-be-sentenced-to-between-10-and-20-years-in-prison,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,181611.37849599944,3949.07807,False,2025-12-31T12:00:00Z,"[""15540133404064485946536607974212890170021691204987131841181394872998839987451"", ""63603874958591978684257718702104189214159397118281244112857573557732401361881""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-10-and-20-years-in-prison
544096,will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,219234.2993809998,3382.11013,False,2025-12-31T12:00:00Z,"[""40689385937970031985272152180777653235879119412231903065658922913468759560353"", ""109223657334725476924710634471321315385389367621714474291402615707818729630121""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison
544097,will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Will Harvey Weinstein be sentenced to more than 30 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,93563.22396500001,2208.18936,False,2025-12-31T12:00:00Z,"[""87036266705700330884624690101790543034325645582506946990660049003915176778714"", ""26608800110066527607246656145735191327716408714826934367635297922290688100618""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison
