wallet,first_activity_utc,markets_traded
0xa1000000000000000000000000000000000000a1,2026-06-17T22:00:00Z,3
0xa2000000000000000000000000000000000000a2,2026-06-10T09:00:00Z,6
0xa3000000000000000000000000000000000000a3,2026-06-12T12:00:00Z,11
0xa4000000000000000000000000000000000000a4,2026-06-14T01:00:00Z,2
0xa5000000000000000000000000000000000000a5,2026-06-17T00:00:00Z,1
0xb1000000000000000000000000000000000000b1,2023-03-01T00:00:00Z,1840
0xb2000000000000000000000000000000000000b2,2024-11-05T00:00:00Z,410
0xb3000000000000000000000000000000000000b3,2025-01-20T00:00:00Z,95
0xc1000000000000000000000000000000000000c1,2026-06-13T08:00:00Z,4
0xd1000000000000000000000000000000000000d1,2025-08-01T00:00:00Z,260
0xe1000000000000000000000000000000000000e1,2026-06-12T00:00:00Z,8
0xe2000000000000000000000000000000000000e2,2026-06-11T00:00:00Z,5
0xe3000000000000000000000000000000000000e3,2026-06-15T00:00:00Z,9
