market_id,market_name,concentration_available,concentration_tier,concentration_red_flag,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason
567688,Netanyahu out by end of 2026?,False,unavailable,False,,,,no trades available for the window
656313,OpenAI $1t+ IPO before 2027?,False,unavailable,False,,,,no trades available for the window
665218,Israel and Saudi Arabia normalize relations before 2027?,False,unavailable,False,,,,no trades available for the window
665243,NATO article 5 before 2027?,False,unavailable,False,,,,no trades available for the window
665224,Ukraine signs peace deal with Russia before 2027?,False,unavailable,False,,,,no trades available for the window
656312,Will OpenAI IPO by December 31 2026?,False,unavailable,False,,,,no trades available for the window
616904,Will 2 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
608368,"Will OpenAI not IPO by December 31, 2026?",False,unavailable,False,,,,no trades available for the window
567690,"Erdoğan out by December 31, 2026?",False,unavailable,False,,,,no trades available for the window
568116,Will Trump be impeached by end of 2026?,False,unavailable,False,,,,no trades available for the window
568117,"Will Trump resign by December 31, 2026?",False,unavailable,False,,,,no trades available for the window
560317,"Putin out as President of Russia by December 31, 2026?",False,unavailable,False,,,,no trades available for the window
616905,Will 3 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
567621,Will China invade Taiwan by end of 2026?,False,unavailable,False,,,,no trades available for the window
616906,Will 4 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616907,Will 5 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616909,Will 7 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616908,Will 6 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616914,Will 12 or more Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616910,Will 8 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616911,Will 9 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
616913,Will 11 Fed rate cuts happen in 2026?,False,unavailable,False,,,,no trades available for the window
