market_id,wallet,wallet_name,side,outcome,price,size,timestamp
mil-iran-strike,0xa1000000000000000000000000000000000000a1,fresh-iran-1,BUY,Yes,0.12,150000,2026-06-18T02:10:00Z
mil-iran-strike,0xa1000000000000000000000000000000000000a1,fresh-iran-1,BUY,Yes,0.14,100000,2026-06-18T05:40:00Z
mil-iran-strike,0xa2000000000000000000000000000000000000a2,fresh-iran-2,BUY,Yes,0.15,160000,2026-06-18T09:00:00Z
mil-iran-strike,0xa3000000000000000000000000000000000000a3,fresh-iran-3,BUY,Yes,0.18,90000,2026-06-18T21:30:00Z
mil-iran-strike,0xa4000000000000000000000000000000000000a4,fresh-iran-4,BUY,Yes,0.20,70000,2026-06-19T03:15:00Z
mil-iran-strike,0xb1000000000000000000000000000000000000b1,veteran-whale,BUY,Yes,0.15,400000,2026-06-18T12:00:00Z
mil-iran-strike,0xb2000000000000000000000000000000000000b2,late-settler,BUY,Yes,0.91,60000,2026-06-19T23:00:00Z
mil-iran-strike,0xa5000000000000000000000000000000000000a5,fresh-small,BUY,Yes,0.13,12000,2026-06-18T15:00:00Z
mil-iran-strike,0xb3000000000000000000000000000000000000b3,no-seller,SELL,No,0.85,30000,2026-06-18T10:00:00Z
taiwan-blockade,0xc1000000000000000000000000000000000000c1,fresh-lone-wolf,BUY,Yes,0.08,190000,2026-06-17T08:00:00Z
taiwan-blockade,0xb1000000000000000000000000000000000000b1,veteran-whale,BUY,No,0.30,50000,2026-06-17T09:00:00Z
sanc-russia-q3,0xb1000000000000000000000000000000000000b1,veteran-whale,BUY,Yes,0.25,80000,2026-06-15T10:00:00Z
sanc-russia-q3,0xd1000000000000000000000000000000000000d1,broad-trader,BUY,Yes,0.26,60000,2026-06-16T10:00:00Z
trade-china-evs,0xe1000000000000000000000000000000000000e1,fresh-split-1,BUY,Yes,0.20,75000,2026-06-16T10:00:00Z
trade-china-evs,0xe2000000000000000000000000000000000000e2,fresh-split-2,BUY,Yes,0.22,60000,2026-06-16T14:00:00Z
trade-china-evs,0xe3000000000000000000000000000000000000e3,fresh-split-3,BUY,No,0.30,50000,2026-06-17T14:00:00Z
