market_id,market_slug,market_name,question,description,category,tags,event_slug,event_title,volume,liquidity,closed,close_time,clob_token_ids,market_url
mil-iran-strike,mil-iran-strike,Will the US conduct a military strike on Iran before August 2026?,Will the US conduct a military strike on Iran before August 2026?,Will the US conduct a military strike on Iran before August 2026?,geopolitics,geopolitics|military|iran,mil,Will the US conduct a military strike on Iran before August 2026?,250000,40000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/mil-iran-strike
taiwan-blockade,taiwan-blockade,Will China impose a naval blockade on Taiwan before 2027?,Will China impose a naval blockade on Taiwan before 2027?,Will China impose a naval blockade on Taiwan before 2027?,geopolitics,geopolitics|military|china|taiwan,taiwan,Will China impose a naval blockade on Taiwan before 2027?,180000,30000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/taiwan-blockade
sanc-russia-q3,sanc-russia-q3,Will the EU impose new sanctions on Russia by Q3 2026?,Will the EU impose new sanctions on Russia by Q3 2026?,Will the EU impose new sanctions on Russia by Q3 2026?,geopolitics,geopolitics|sanctions|russia,sanc,Will the EU impose new sanctions on Russia by Q3 2026?,130000,25000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/sanc-russia-q3
trade-china-evs,trade-china-evs,Will the US raise tariffs on Chinese EVs above 100% in 2026?,Will the US raise tariffs on Chinese EVs above 100% in 2026?,Will the US raise tariffs on Chinese EVs above 100% in 2026?,geopolitics,geopolitics|trade|china|tariff,trade,Will the US raise tariffs on Chinese EVs above 100% in 2026?,120000,20000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/trade-china-evs
opec-cut-jul,opec-cut-jul,Will OPEC+ announce a production cut in July 2026?,Will OPEC+ announce a production cut in July 2026?,Will OPEC+ announce a production cut in July 2026?,geopolitics,energy|oil|opec,opec,Will OPEC+ announce a production cut in July 2026?,70000,12000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/opec-cut-jul
france-snap-election,france-snap-election,Will there be a snap parliamentary election in France in 2026?,Will there be a snap parliamentary election in France in 2026?,Will there be a snap parliamentary election in France in 2026?,geopolitics,geopolitics|election|france,france,Will there be a snap parliamentary election in France in 2026?,60000,9000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/france-snap-election
nba-finals-2026,nba-finals-2026,Will the Lakers win the 2026 NBA Finals?,Will the Lakers win the 2026 NBA Finals?,Will the Lakers win the 2026 NBA Finals?,sports,sports|nba,nba,Will the Lakers win the 2026 NBA Finals?,300000,50000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/nba-finals-2026
btc-150k,btc-150k,"Will Bitcoin exceed $150,000 in 2026?","Will Bitcoin exceed $150,000 in 2026?","Will Bitcoin exceed $150,000 in 2026?",crypto,crypto|bitcoin,btc,"Will Bitcoin exceed $150,000 in 2026?",500000,80000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/btc-150k
oscars-bestpic,oscars-bestpic,Will 'Dune: Part Three' win the Best Picture Oscar?,Will 'Dune: Part Three' win the Best Picture Oscar?,Will 'Dune: Part Three' win the Best Picture Oscar?,entertainment,entertainment|oscars|movie,oscars,Will 'Dune: Part Three' win the Best Picture Oscar?,40000,6000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/oscars-bestpic
biden-approval-45,biden-approval-45,Will the US president's approval rating exceed 45% in July 2026?,Will the US president's approval rating exceed 45% in July 2026?,Will the US president's approval rating exceed 45% in July 2026?,politics,politics|polling|approval,biden,Will the US president's approval rating exceed 45% in July 2026?,55000,8000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/biden-approval-45
fl-hurricane-cat5,fl-hurricane-cat5,Will a Category 5 hurricane make landfall in Florida in 2026?,Will a Category 5 hurricane make landfall in Florida in 2026?,Will a Category 5 hurricane make landfall in Florida in 2026?,weather,weather|hurricane,fl,Will a Category 5 hurricane make landfall in Florida in 2026?,45000,7000,True,2026-06-21T00:00:00Z,[],https://polymarket.com/market/fl-hurricane-cat5
