market_id,market_name,anomaly_trigger_time_utc,price_before,price_after,max_abs_move,score_magnitude,score_speed,score_persistence,score_unusualness,time_to_close_bonus,concentration_available,concentration_tier,concentration_red_flag,concentration_bonus,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason,fingerprint_tier,fingerprint_red_flag,fingerprint_bonus,fingerprint_matched_wallets,anomaly_score,observations,anomaly_class
629707,Will the Democrats win the Vermont governor race in 2026?,2026-09-25T11:00:17Z,0.061,0.2035,0.1425,100.0,100.0,94.4,100.0,0.0,True,red_flag,True,1.0,0.1511,0.3619,0.8198,"THICK market moved by a few wallets (top1=15%, top3=36%, gini=0.82)",none,False,0.0,0,99.9,337,strong
629040,Will Nithya Raman win the 2026 Los Angeles mayoral election?,2026-09-23T17:00:15Z,0.4205,0.5855,0.165,100.0,100.0,93.9,100.0,0.0,True,red_flag,True,1.0,0.2368,0.3766,0.9138,"THICK market moved by a few wallets (top1=24%, top3=38%, gini=0.91)",none,False,0.0,0,99.8,337,strong
629708,Will the Republicans win the Vermont governor race in 2026?,2026-09-25T12:00:19Z,0.92,0.795,0.125,100.0,100.0,100.0,81.7,0.0,True,concentrated_thin,False,0.0,0.1784,0.3981,0.859,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,96.3,337,strong
629691,Will the Republicans win the Texas governor race in 2026?,2026-09-23T02:00:18Z,0.7905,0.68,0.1105,100.0,100.0,74.8,100.0,0.0,True,red_flag,True,1.0,0.1472,0.3194,0.8353,"THICK market moved by a few wallets (top1=15%, top3=32%, gini=0.84)",none,False,0.0,0,96.0,337,strong
629690,Will the Democrats win the Texas governor race in 2026?,2026-09-23T02:00:17Z,0.215,0.325,0.11,100.0,100.0,74.2,100.0,0.0,True,red_flag,True,1.0,0.1121,0.3087,0.846,"THICK market moved by a few wallets (top1=11%, top3=31%, gini=0.85)",none,False,0.0,0,95.8,337,strong
629030,Will Karen Bass win the 2026 Los Angeles mayoral election?,2026-09-23T14:00:19Z,0.565,0.405,0.16,100.0,100.0,90.6,81.3,0.0,True,red_flag,True,1.0,0.1583,0.3894,0.9372,"THICK market moved by a few wallets (top1=16%, top3=39%, gini=0.94)",none,False,0.0,0,95.4,337,strong
593972,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,2026-09-24T03:00:19Z,0.155,0.33,0.175,100.0,100.0,66.3,100.0,0.0,True,diffuse,False,0.0,0.0688,0.1662,0.7776,wallet participation is diffuse,none,False,0.0,0,93.3,337,strong
620335,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?",2026-09-24T04:00:10Z,0.818,0.897,0.079,79.0,100.0,95.7,97.8,0.0,True,diffuse,False,0.0,0.0641,0.1293,0.4683,wallet participation is diffuse,none,False,0.0,0,91.3,337,strong
630734,Will the Republicans win the Iowa Senate race in 2026?,2026-09-22T13:00:15Z,0.605,0.51,0.095,95.0,100.0,95.6,61.5,0.0,True,red_flag,True,1.0,0.2646,0.3942,0.9224,"THICK market moved by a few wallets (top1=26%, top3=39%, gini=0.92)",none,False,0.0,0,90.7,337,strong
630707,Will Todd Achilles win the Idaho Senate race in 2026?,2026-09-19T20:00:15Z,0.0335,0.5035,0.47,100.0,100.0,58.7,93.7,0.0,True,concentrated_thin,False,0.0,0.4311,0.7279,0.688,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,90.5,337,strong
664045,Will Mamdani freeze NYC rents before 2027?,2026-09-23T20:00:15Z,0.901,0.5435,0.3575,100.0,100.0,42.6,100.0,0.0,True,red_flag,True,1.0,0.1268,0.3185,0.8536,"THICK market moved by a few wallets (top1=13%, top3=32%, gini=0.85)",none,False,0.0,0,89.5,337,strong
630806,Will the Republicans win the Michigan Senate race in 2026?,2026-09-23T00:00:22Z,0.34,0.245,0.095,95.0,100.0,89.5,60.6,0.0,True,red_flag,True,1.0,0.2376,0.4263,0.8852,"THICK market moved by a few wallets (top1=24%, top3=43%, gini=0.89)",none,False,0.0,0,89.3,337,strong
593974,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,2026-09-18T14:00:20Z,0.4825,0.104,0.3785,100.0,100.0,100.0,42.8,0.0,True,concentrated_thin,False,0.0,0.3211,0.5778,0.8236,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,88.6,337,strong
629506,Will the Republicans win the Nevada governor race in 2026?,2026-09-13T09:00:16Z,0.565,0.325,0.24,100.0,100.0,37.2,90.8,0.0,True,red_flag,True,1.0,0.2801,0.4422,0.8782,"THICK market moved by a few wallets (top1=28%, top3=44%, gini=0.88)",none,False,0.0,0,86.6,337,strong
629505,Will the Democrats win the Nevada governor race in 2026?,2026-09-13T14:00:17Z,0.44,0.545,0.105,100.0,100.0,57.1,63.8,0.0,True,red_flag,True,1.0,0.2742,0.3654,0.8374,"THICK market moved by a few wallets (top1=27%, top3=37%, gini=0.84)",none,False,0.0,0,85.2,336,strong
