market_id,market_slug,market_name,question,description,category,tags,event_slug,event_title,volume,liquidity,closed,close_time,clob_token_ids,market_url,condition_id,relevance_score,primary_topic,country_or_region,event_family,information_structure,hard_rejected,classification_reason,screen_economic_salience,screen_information_asymmetry,screen_topic,screen_rationale,screen_verdict,screen_drop_reason
665243,nato-article-5-before-2027,NATO article 5 before 2027?,NATO article 5 before 2027?,"If any NATO member country invokes Article 5 of the North Atlantic Treaty at any time between November 5, 2025 and December 31, 2026, 11:59 PM ET, this market will resolve to ""Yes"". Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from NATO (nato.int), however a consensus of credible media will also suffice.",,,nato-article-5-before-2027,NATO article 5 before 2027?,263724.407335,22756.27326,False,2027-01-01T04:59:00Z,"[""43163627642054688181815035851547282838254727740867654146202339736338923379962"", ""2023566903018276614249600567472475788663508489795373839831574790501932782080""]",https://polymarket.com/market/nato-article-5-before-2027,0xe7743a393cd98bb7a7cd011361b74a0fd12bac3412643873f4661fcc431ed165,100.0,military_conflict,europe,nato-article-5-before-2027,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
620335,aziz-akhannouch-out-as-morocco-prime-minister-by-december-31-2026,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?","Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?","This market will resolve to “Yes” if Aziz Akhannouch ceases to be Prime Minister of Morocco for any period of time between market creation and the specified date (ET). Otherwise, this market will resolve to “No”.

An announcement of Aziz Akhannouch's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

If the specified individual is detained, effectively removed from the specified position, or otherwise permanently prevented from fulfilling the duties of the specified position within this market’s timeframe, it will qualify for a “Yes” resolution.

The resolution source for this market will be official information from Aziz Akhannouch and the government of Morocco; however, a consensus of credible reporting may also be used.",,,aziz-akhannouch-out-as-morocco-prime-minister-by-december-31-2026,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?",168550.853099,4078.30593,False,2027-01-01T04:59:00Z,"[""49913535691357405888189005795777119729203074497784553050607906527813175648482"", ""107283612200874762627410448315233948227070614640181631187039818267842487558132""]",https://polymarket.com/market/aziz-akhannouch-out-as-morocco-prime-minister-by-december-31-2026,0x339d8be5cb57653a9ee63e07d216543622cdefb45eed81b1680e83887a2d7bc6,100.0,trade_policy,unknown,aziz-akhannouch-out-as-morocco-prime-minister-by-december-31-2026,asymmetry_prone,False,matched trade_policy keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,trade_policy,mock: assumed in scope,keep,
616914,will-12-or-more-fed-rate-cuts-happen-in-2026,Will 12 or more Fed rate cuts happen in 2026?,Will 12 or more Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,3960831.553919998,262792.23225,False,2027-01-01T04:59:00Z,"[""9348234470735473071085620208817441102005165766524508452759679947551704787649"", ""27203305404978223030553317971682713734658336588968050686197281149875057661426""]",https://polymarket.com/market/will-12-or-more-fed-rate-cuts-happen-in-2026,0xffa0accb74987c0dc33a70eb3780c1da160206bcfb3ef5d16c1667bc5c459c78,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616913,will-11-fed-rate-cuts-happen-in-2026,Will 11 Fed rate cuts happen in 2026?,Will 11 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,5272133.838100998,545319.59171,False,2027-01-01T04:59:00Z,"[""56345349743779788266710915561914531858285418844567819631705863717318287635981"", ""26533811683673020016156821068743960771270276222852607342597705457170159668542""]",https://polymarket.com/market/will-11-fed-rate-cuts-happen-in-2026,0x1adf074e048fa613f4ddbc0766088748a48d120a3a713b0183e219032a411ae3,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616912,will-10-fed-rate-cuts-happen-in-2026,Will 10 Fed rate cuts happen in 2026?,Will 10 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,4954179.949515998,524679.3219,False,2027-01-01T04:59:00Z,"[""101699865858660601590309838387762714166224752219273014726406345404403204943713"", ""66183284712764802657795502795552404612971669672765842666767416251669427449952""]",https://polymarket.com/market/will-10-fed-rate-cuts-happen-in-2026,0x757c144993b3cb831e04c42bfcff8c18864c7da4f4688a5939d2f62e031cbc87,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616911,will-9-fed-rate-cuts-happen-in-2026,Will 9 Fed rate cuts happen in 2026?,Will 9 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,4291810.567518001,494065.85151,False,2027-01-01T04:59:00Z,"[""23126031577449775652876745717301519312850542565907124407036782701549610893044"", ""104942649192609913825700442400757579142602100704286281267464239496183536823685""]",https://polymarket.com/market/will-9-fed-rate-cuts-happen-in-2026,0x4ec6fcb43fe1a32163c7da09d54a99ab9bf6abdc6fd49939d7ad67d696a3248b,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616910,will-8-fed-rate-cuts-happen-in-2026,Will 8 Fed rate cuts happen in 2026?,Will 8 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,3295912.67589,303518.98893,False,2027-01-01T04:59:00Z,"[""79224949855948800840589557145654317659028242814072850811675646040486360279565"", ""87675042073148826481646804686739465454480607542088274413944712124354466628470""]",https://polymarket.com/market/will-8-fed-rate-cuts-happen-in-2026,0xfe28cb84a714b1a964290d7fd2587e71d57e905678c8ab64488449b24be78e52,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616909,will-7-fed-rate-cuts-happen-in-2026,Will 7 Fed rate cuts happen in 2026?,Will 7 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,3526649.8001670004,177170.1051,False,2027-01-01T04:59:00Z,"[""83225062900867600837789591190756506957715645312465902979999093167287051133800"", ""70694980832312500201330660753738089732275716848386256819010620597664479406765""]",https://polymarket.com/market/will-7-fed-rate-cuts-happen-in-2026,0x2368d2604c9c2b95bc98c51bd50c66e5351caebf05b9fe79d3398c387fe29a89,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616908,will-6-fed-rate-cuts-happen-in-2026,Will 6 Fed rate cuts happen in 2026?,Will 6 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,4225099.51532,157025.8431,False,2027-01-01T04:59:00Z,"[""77531340423610587330488971960018210147778793548713753738604838920212617696839"", ""82580329456069960430455853606847264180718690130912450048527873419398759263654""]",https://polymarket.com/market/will-6-fed-rate-cuts-happen-in-2026,0x4914bfdd892a48c341b5e0f41ec10475a815f2277273110b16f95e21084bfe75,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
616907,will-5-fed-rate-cuts-happen-in-2026,Will 5 Fed rate cuts happen in 2026?,Will 5 Fed rate cuts happen in 2026?,"This market will resolve according to the exact amount of cuts of 25 basis points in 2026 by the Fed (including any cuts made during the December meeting).

Emergency rate cuts outside of scheduled FOMC meetings will also count toward the total number of cuts in 2026. This market will remain open until December 31, 2026, 11:59 PM ET, to account for any such emergency actions.

For example, if the Fed cuts rates by 50 bps after a meeting, it would be considered 2 cuts (of 25 bps each).

This market will resolve early to ""No"" if the specified number of cuts becomes impossible — i.e., if more cuts have already occurred than the strike in question.

Note that cuts between 1–24 bps (inclusive) will also be considered 1 rate cut.

The resolution source for this market will be FOMC statements after meetings scheduled in 2026 according to the official calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm. The level and change of the target federal funds rate is also published at the official website of the Federal Reserve at https://www.federalreserve.gov/monetarypolicy/openmarket.htm.",,,how-many-fed-rate-cuts-in-2026,How many Fed rate cuts in 2026?,2999872.7221269994,250863.35305,False,2027-01-01T04:59:00Z,"[""29213252446661789250484965446100709214117256176608501943249094649759520097655"", ""39766939694460004925290266709531635660902081793543974711598767930913394552857""]",https://polymarket.com/market/will-5-fed-rate-cuts-happen-in-2026,0x7ee722a07e0f84405f1267bc1c84eb95bd6348454453abf445618e778af8fd18,100.0,military_conflict,unknown,how-many-fed-rate-cuts-in-2026,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus,80.0,70.0,military_conflict,mock: assumed in scope,keep,
